Repository,User,Frequency,,
TEAMMATES_repo.csv,adityavhegde,4,NA,NA
TEAMMATES_repo.csv,AdrianSiwiec,3,NA,NA
TEAMMATES_repo.csv,AlexM9200,5,NA,NA
TEAMMATES_repo.csv,amarlearning,25,NA,NA
TEAMMATES_repo.csv,AnaghHegde,18,NA,NA
TEAMMATES_repo.csv,ashrayjain,11,NA,NA
TEAMMATES_repo.csv,baczus0,3,NA,NA
TEAMMATES_repo.csv,bamboo3250,14,NA,NA
TEAMMATES_repo.csv,belyabl9,41,NA,NA
TEAMMATES_repo.csv,bhumisaxena0223,3,NA,NA
TEAMMATES_repo.csv,bjrodrig,3,NA,NA
TEAMMATES_repo.csv,bmthanki,4,NA,NA
TEAMMATES_repo.csv,boxin-yang,6,NA,NA
TEAMMATES_repo.csv,bqnguyen94,15,NA,NA
TEAMMATES_repo.csv,BrianCoveney,7,NA,NA
TEAMMATES_repo.csv,chowyb,30,NA,NA
TEAMMATES_repo.csv,craaaa,8,NA,NA
TEAMMATES_repo.csv,Crphang,8,NA,NA
TEAMMATES_repo.csv,cybersol795,3,NA,NA
TEAMMATES_repo.csv,dalessr,21,NA,NA
TEAMMATES_repo.csv,damithc,6,NA,NA
TEAMMATES_repo.csv,darrenwee,8,NA,NA
TEAMMATES_repo.csv,davel37,7,NA,NA
TEAMMATES_repo.csv,dcz0622,4,NA,NA
TEAMMATES_repo.csv,dipzzzz,6,NA,NA
TEAMMATES_repo.csv,dustinlapierre,3,NA,NA
TEAMMATES_repo.csv,dutta14,3,NA,NA
TEAMMATES_repo.csv,eei34,3,NA,NA
TEAMMATES_repo.csv,ghost,10,NA,NA
TEAMMATES_repo.csv,Gisonrg,8,NA,NA
TEAMMATES_repo.csv,gthd,6,NA,NA
TEAMMATES_repo.csv,hackosinn,8,NA,NA
TEAMMATES_repo.csv,Haozhe321,7,NA,NA
TEAMMATES_repo.csv,Harshvardhan58,3,NA,NA
TEAMMATES_repo.csv,HirdayGupta,31,NA,NA
TEAMMATES_repo.csv,hiresh,4,NA,NA
TEAMMATES_repo.csv,huai99,3,NA,NA
TEAMMATES_repo.csv,iamhunter,3,NA,NA
TEAMMATES_repo.csv,IAmPramod,4,NA,NA
TEAMMATES_repo.csv,imsoalan,3,NA,NA
TEAMMATES_repo.csv,jacoblipech,11,NA,NA
TEAMMATES_repo.csv,jimmyshephard,3,NA,NA
TEAMMATES_repo.csv,jkt001,17,NA,NA
TEAMMATES_repo.csv,joanneong,10,NA,NA
TEAMMATES_repo.csv,JosephineKwa,51,NA,NA
TEAMMATES_repo.csv,junkiattan,3,NA,NA
TEAMMATES_repo.csv,kanghj,74,NA,NA
TEAMMATES_repo.csv,kennho,25,NA,NA
TEAMMATES_repo.csv,kilarusravankumar,3,NA,NA
TEAMMATES_repo.csv,Labirinto,3,NA,NA
TEAMMATES_repo.csv,leelunn,5,NA,NA
TEAMMATES_repo.csv,leeyimin,18,NA,NA
TEAMMATES_repo.csv,LiHaoTan,11,NA,NA
TEAMMATES_repo.csv,li-kai,13,NA,NA
TEAMMATES_repo.csv,LimeTheCoder,25,NA,NA
TEAMMATES_repo.csv,LowWeiLin,7,NA,NA
TEAMMATES_repo.csv,LuLechuan,7,NA,NA
TEAMMATES_repo.csv,MaddyThakker,6,NA,NA
TEAMMATES_repo.csv,manishvishnoi2,3,NA,NA
TEAMMATES_repo.csv,ManognaMutyala,4,NA,NA
TEAMMATES_repo.csv,mesternefeld,4,NA,NA
TEAMMATES_repo.csv,mg14777,12,NA,NA
TEAMMATES_repo.csv,mikelimantara,3,NA,NA
TEAMMATES_repo.csv,mmoanis,5,NA,NA
TEAMMATES_repo.csv,m-nikhil,3,NA,NA
TEAMMATES_repo.csv,mukesh14149,3,NA,NA
TEAMMATES_repo.csv,Mynk96,34,NA,NA
TEAMMATES_repo.csv,Neurrone,10,NA,NA
TEAMMATES_repo.csv,nidhi98gupta,20,NA,NA
TEAMMATES_repo.csv,nikiforosbotis,3,NA,NA
TEAMMATES_repo.csv,nockc,3,NA,NA
TEAMMATES_repo.csv,nsaiisasidhar,9,NA,NA
TEAMMATES_repo.csv,NULL,21,NA,NA
TEAMMATES_repo.csv,OLGKAD,3,NA,NA
TEAMMATES_repo.csv,OlhaHn,7,NA,NA
TEAMMATES_repo.csv,pandilladivya,4,NA,NA
TEAMMATES_repo.csv,pankajd94,3,NA,NA
TEAMMATES_repo.csv,paradite,3,NA,NA
TEAMMATES_repo.csv,ParmaarK,11,NA,NA
TEAMMATES_repo.csv,pratyoushs,4,NA,NA
TEAMMATES_repo.csv,PSNAppz,4,NA,NA
TEAMMATES_repo.csv,rajujha373,5,NA,NA
TEAMMATES_repo.csv,RatulGhosh,6,NA,NA
TEAMMATES_repo.csv,rclakmal,34,NA,NA
TEAMMATES_repo.csv,riyagarg,3,NA,NA
TEAMMATES_repo.csv,rjrajivjha,4,NA,NA
TEAMMATES_repo.csv,samatdav,4,NA,NA
TEAMMATES_repo.csv,samsontmr,18,NA,NA
TEAMMATES_repo.csv,shaharyar-shamshi,12,NA,NA
TEAMMATES_repo.csv,Shashwat-Garg,3,NA,NA
TEAMMATES_repo.csv,shivanshsoni,10,NA,NA
TEAMMATES_repo.csv,shrut1996,7,NA,NA
TEAMMATES_repo.csv,shubham49,7,NA,NA
TEAMMATES_repo.csv,srajat,3,NA,NA
TEAMMATES_repo.csv,srpurwaha201,3,NA,NA
TEAMMATES_repo.csv,stanislous,9,NA,NA
TEAMMATES_repo.csv,stevesimpson4375,3,NA,NA
TEAMMATES_repo.csv,sujeet14108,31,NA,NA
TEAMMATES_repo.csv,sukanta-27,33,NA,NA
TEAMMATES_repo.csv,Sumei1009,18,NA,NA
TEAMMATES_repo.csv,swxsw,5,NA,NA
TEAMMATES_repo.csv,sznicci,6,NA,NA
TEAMMATES_repo.csv,tanhengyeow,19,NA,NA
TEAMMATES_repo.csv,tarun14110,39,NA,NA
TEAMMATES_repo.csv,theaverageguy,7,NA,NA
TEAMMATES_repo.csv,thenaesh,17,NA,NA
TEAMMATES_repo.csv,thngkaiyuan,3,NA,NA
TEAMMATES_repo.csv,thyageshm,15,NA,NA
TEAMMATES_repo.csv,tran-tien-dat,10,NA,NA
TEAMMATES_repo.csv,tshradheya,41,NA,NA
TEAMMATES_repo.csv,unyoungwax,23,NA,NA
TEAMMATES_repo.csv,uxxSam,3,NA,NA
TEAMMATES_repo.csv,Vaggelis-Malandrakis,3,NA,NA
TEAMMATES_repo.csv,VamsiSangam,24,NA,NA
TEAMMATES_repo.csv,varshav21,3,NA,NA
TEAMMATES_repo.csv,wenmogu,7,NA,NA
TEAMMATES_repo.csv,whipermr5,90,NA,NA
TEAMMATES_repo.csv,wkurniawan07,290,NA,NA
TEAMMATES_repo.csv,xeia,5,NA,NA
TEAMMATES_repo.csv,xpdavid,56,NA,NA
TEAMMATES_repo.csv,YaroslavGnatyuk,3,NA,NA
TEAMMATES_repo.csv,yasirunilan,7,NA,NA
TEAMMATES_repo.csv,YongJieYongJie,51,NA,NA
TEAMMATES_repo.csv,yvsssantosh,4,NA,NA
