Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,
wildfly_wildfly,closed,39,1600,547,1053,,
wildfly_wildfly,closed,40,1700,591,1109,,
wildfly_wildfly,closed,41,1800,628,1172,,
wildfly_wildfly,closed,42,1900,651,1249,,
wildfly_wildfly,closed,43,2000,683,1317,,
wildfly_wildfly,closed,44,2100,712,1388,,
wildfly_wildfly,closed,45,2200,736,1464,,
wildfly_wildfly,closed,46,2300,765,1535,,
wildfly_wildfly,closed,47,2400,794,1606,,
wildfly_wildfly,closed,48,2500,818,1682,,
wildfly_wildfly,closed,49,2600,918,1682,,
wildfly_wildfly,closed,50,2700,1018,1682,,
wildfly_wildfly,closed,51,2800,1118,1682,,
wildfly_wildfly,closed,52,2900,1218,1682,,
wildfly_wildfly,closed,53,3000,1318,1682,,
wildfly_wildfly,closed,54,3100,1418,1682,,
wildfly_wildfly,closed,55,3200,1518,1682,,
wildfly_wildfly,closed,56,3300,1618,1682,,
wildfly_wildfly,closed,57,3400,1718,1682,,
wildfly_wildfly,closed,58,3500,1818,1682,,
wildfly_wildfly,closed,59,3600,1918,1682,,
wildfly_wildfly,closed,60,3700,2018,1682,,
wildfly_wildfly,closed,61,3800,2118,1682,,
wildfly_wildfly,closed,62,3900,2218,1682,,
wildfly_wildfly,closed,63,4000,2318,1682,,
wildfly_wildfly,closed,64,4100,2418,1682,,
wildfly_wildfly,closed,65,4200,2518,1682,,
wildfly_wildfly,closed,66,4300,2618,1682,,
wildfly_wildfly,closed,67,4400,2718,1682,,
wildfly_wildfly,closed,68,4500,2818,1682,,
wildfly_wildfly,closed,69,4600,2918,1682,,
wildfly_wildfly,closed,70,4700,3018,1682,,
wildfly_wildfly,closed,71,4800,3118,1682,,
wildfly_wildfly,closed,72,4900,3218,1682,,
wildfly_wildfly,closed,73,5000,3318,1682,,
wildfly_wildfly,closed,74,5100,3418,1682,,
wildfly_wildfly,closed,75,5200,3518,1682,,
wildfly_wildfly,closed,76,5300,3618,1682,,
wildfly_wildfly,closed,77,5400,3718,1682,,
wildfly_wildfly,closed,78,5500,3818,1682,,
wildfly_wildfly,closed,79,5600,3918,1682,,
wildfly_wildfly,closed,80,5700,4018,1682,,
wildfly_wildfly,closed,81,5800,4118,1682,,
wildfly_wildfly,closed,82,5900,4218,1682,,
wildfly_wildfly,closed,83,6000,4318,1682,,
wildfly_wildfly,closed,84,100,40,60,,
wildfly_wildfly,closed,85,200,75,125,,
wildfly_wildfly,closed,86,300,103,197,,
wildfly_wildfly,closed,87,400,139,261,,
wildfly_wildfly,closed,88,500,169,331,,
wildfly_wildfly,closed,89,600,190,410,,
wildfly_wildfly,closed,90,700,227,473,,
wildfly_wildfly,closed,91,800,271,529,,
wildfly_wildfly,closed,92,900,308,592,,
wildfly_wildfly,closed,93,1000,349,651,,
wildfly_wildfly,closed,94,1100,376,724,,
wildfly_wildfly,closed,95,1200,401,799,,
wildfly_wildfly,closed,96,1300,423,877,,
wildfly_wildfly,closed,97,1400,474,926,,
wildfly_wildfly,closed,98,1500,516,984,,
wildfly_wildfly,closed,99,1600,575,1025,,
wildfly_wildfly,closed,100,1700,612,1088,,
wildfly_wildfly,closed,101,1800,656,1144,,
wildfly_wildfly,closed,102,1900,688,1212,,
wildfly_wildfly,closed,103,2000,727,1273,,
wildfly_wildfly,closed,104,2100,763,1337,,
wildfly_wildfly,closed,105,2200,794,1406,,
wildfly_wildfly,closed,106,2300,841,1459,,
wildfly_wildfly,closed,107,2400,883,1517,,
wildfly_wildfly,closed,108,2500,915,1585,,
wildfly_wildfly,closed,109,2600,1015,1585,,
wildfly_wildfly,closed,110,2700,1115,1585,,
wildfly_wildfly,closed,111,2800,1215,1585,,
wildfly_wildfly,closed,112,2900,1315,1585,,
wildfly_wildfly,closed,113,3000,1415,1585,,
wildfly_wildfly,closed,114,3100,1515,1585,,
wildfly_wildfly,closed,115,3200,1615,1585,,
wildfly_wildfly,closed,116,3300,1715,1585,,
wildfly_wildfly,closed,117,3400,1815,1585,,
wildfly_wildfly,closed,118,3403,1818,1585,,
